ref_date,geo,reg_status,prog_level,program_class,sex,value
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Humanities,Females,16797
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Both sexes,21480
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Males,7821
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Social and behavioural sciences and law,Females,13656
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Business, management and public administration",Both sexes,20757
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Business, management and public administration",Males,8436
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Business, management and public administration",Females,12309
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Both sexes,6504
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Males,3213
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Physical and life sciences and technologies,Females,3288
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Both sexes,5217
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Males,4038
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Mathematics, computer and information sciences",Females,1173
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Both sexes,6903
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Males,5748
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Architecture, engineering and related technologies",Females,1155
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Both sexes,984
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Males,483
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Agriculture, natural resources and conservation",Females,498
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Both sexes,11055
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Males,1605
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Health, parks, recreation and fitness",Females,9450
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Both sexes,195
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Males,99
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Personal, protective and transportation services",Females,96
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Other instructional programs,Both sexes,2178
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Other instructional programs,Males,759
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Other instructional programs,Females,1419
2005/2006,Canada,Part-time student,Other undergraduate level,"Total, instructional programs",Both sexes,42636
2005/2006,Canada,Part-time student,Other undergraduate level,"Total, instructional programs",Males,14034
2005/2006,Canada,Part-time student,Other undergraduate level,"Total, instructional programs",Females,28590
2005/2006,Canada,Part-time student,Other undergraduate level,Personal improvement and leisure,Both sexes,6
2005/2006,Canada,Part-time student,Other undergraduate level,Personal improvement and leisure,Males,0
2005/2006,Canada,Part-time student,Other undergraduate level,Personal improvement and leisure,Females,3
2005/2006,Canada,Part-time student,Other undergraduate level,Education,Both sexes,5169
2005/2006,Canada,Part-time student,Other undergraduate level,Education,Males,1191
2005/2006,Canada,Part-time student,Other undergraduate level,Education,Females,3969
2005/2006,Canada,Part-time student,Other undergraduate level,Visual and performing arts and communications technologies,Both sexes,843
2005/2006,Canada,Part-time student,Other undergraduate level,Visual and performing arts and communications technologies,Males,198
2005/2006,Canada,Part-time student,Other undergraduate level,Visual and performing arts and communications technologies,Females,645
2005/2006,Canada,Part-time student,Other undergraduate level,Humanities,Both sexes,5025
2005/2006,Canada,Part-time student,Other undergraduate level,Humanities,Males,1446
2005/2006,Canada,Part-time student,Other undergraduate level,Humanities,Females,3576
2005/2006,Canada,Part-time student,Other undergraduate level,Social and behavioural sciences and law,Both sexes,5211
2005/2006,Canada,Part-time student,Other undergraduate level,Social and behavioural sciences and law,Males,1692
2005/2006,Canada,Part-time student,Other undergraduate level,Social and behavioural sciences and law,Females,3522
2005/2006,Canada,Part-time student,Other undergraduate level,"Business, management and public administration",Both sexes,19290
2005/2006,Canada,Part-time student,Other undergraduate level,"Business, management and public administration",Males,6645
2005/2006,Canada,Part-time student,Other undergraduate level,"Business, management and public administration",Females,12639
2005/2006,Canada,Part-time student,Other undergraduate level,Physical and life sciences and technologies,Both sexes,171
2005/2006,Canada,Part-time student,Other undergraduate level,Physical and life sciences and technologies,Males,63
2005/2006,Canada,Part-time student,Other undergraduate level,Physical and life sciences and technologies,Females,108
2005/2006,Canada,Part-time student,Other undergraduate level,"Mathematics, computer and information sciences",Both sexes,1038
2005/2006,Canada,Part-time student,Other undergraduate level,"Mathematics, computer and information sciences",Males,750
2005/2006,Canada,Part-time student,Other undergraduate level,"Mathematics, computer and information sciences",Females,288
2005/2006,Canada,Part-time student,Other undergraduate level,"Architecture, engineering and related technologies",Both sexes,978
2005/2006,Canada,Part-time student,Other undergraduate level,"Architecture, engineering and related technologies",Males,753
2005/2006,Canada,Part-time student,Other undergraduate level,"Architecture, engineering and related technologies",Females,225
2005/2006,Canada,Part-time student,Other undergraduate level,"Agriculture, natural resources and conservation",Both sexes,564
